1641297139.0
1641297160.0,S3:,1.00,-0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.21,-0.91,0.11
1641297160.0,S3:,1.03,0.01,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.16,-1.19,0.14
1641297160.0,S3:,1.02,-0.01,-0.14
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-1.05,0.34
1641297160.0,S3:,1.03,-0.04,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.16,-1.05,-0.05
1641297160.0,S3:,1.01,0.05,-0.11
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.16,-1.14,0.35
1641297160.0,S3:,1.01,-0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.22,-0.93,0.17
1641297160.0,S3:,1.02,0.02,-0.15
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.23,-1.17,0.07
1641297160.0,S3:,1.01,0.02,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.15,-1.03,0.36
1641297160.0,S3:,1.02,-0.05,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.02,-0.99,-0.05
1641297160.0,S3:,1.01,0.05,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.04,-1.15,0.27
1641297160.0,S3:,1.00,-0.03,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-0.87,0.07
1641297160.0,S3:,1.04,0.01,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.26,-1.15,0.03
1641297160.0,S3:,1.01,0.04,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-1.00,0.31
1641297160.0,S3:,1.03,-0.04,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.09,-0.92,-0.05
1641297160.0,S3:,1.02,0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.23,-1.13,0.37
1641297160.0,S3:,1.00,-0.03,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.20,-0.89,0.12
1641297160.0,S3:,1.03,-0.01,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.20,-1.19,0.13
1641297160.0,S3:,1.01,0.01,-0.14
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.19,-1.06,0.38
1641297160.0,S3:,1.02,-0.04,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.10,-1.05,-0.04
1641297160.0,S3:,1.01,0.04,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.12,-1.14,0.32
1641297160.0,S3:,1.00,-0.03,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.17,-0.86,0.03
1641297160.0,S3:,1.04,0.01,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.23,-1.13,0.04
1641297160.0,S3:,1.02,0.02,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.16,-1.06,0.38
1641297160.0,S3:,1.02,-0.03,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.01,-0.97,-0.06
1641297160.0,S3:,1.02,0.03,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.00,-1.14,0.25
1641297160.0,S3:,1.00,-0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.21,-0.88,0.08
1641297160.0,S3:,1.03,0.01,-0.18
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.18,-1.14,0.01
1641297160.0,S3:,1.01,0.00,-0.14
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.18,-1.02,0.34
1641297160.0,S3:,1.01,-0.03,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.08,-0.94,-0.02
1641297160.0,S3:,1.01,0.04,-0.11
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.20,-1.12,0.35
1641297160.0,S3:,0.99,-0.03,-0.12
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.22,-0.91,0.15
1641297160.0,S3:,1.02,-0.00,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.19,-1.17,0.10
1641297160.0,S3:,1.02,0.01,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.16,-1.03,0.36
1641297160.0,S3:,1.01,-0.03,-0.16
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.13,-1.03,-0.05
1641297160.0,S3:,1.02,0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.14,-1.15,0.31
1641297160.0,S3:,1.00,-0.03,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.20,-0.94,0.19
1641297160.0,S3:,1.02,0.01,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,-0.24,-1.13,0.06
1641297160.0,S3:,1.02,0.03,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.16,-1.05,0.36
1641297160.0,S3:,1.02,-0.03,-0.17
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.03,-0.98,-0.05
1641297160.0,S3:,1.02,0.04,-0.13
1641297160.0,S1:,0.00,0.00,0.00
1641297160.0,S2:,0.01,-1.15,0.25
