 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807873489.00,S3:,0.13,-0.99,0.14
1641807873501.00,S3:,0.12,-1,0.14
1641807873514.00,S3:,0.13,-1,0.14
1641807873526.00,S3:,0.13,-1,0.14
1641807873537.00,S3:,0.13,-1,0.13
1641807873550.00,S3:,0.13,-1,0.14
1641807873562.00,S3:,0.13,-1,0.15
1641807873575.00,S3:,0.13,-1.01,0.15
1641807873587.00,S3:,0.13,-0.99,0.14
1641807873599.00,S3:,0.13,-1,0.14
1641807873611.00,S3:,0.13,-1,0.13
1641807873623.00,S3:,0.12,-0.99,0.15
1641807873635.00,S3:,0.12,-1,0.14
1641807873647.00,S3:,0.12,-1,0.14
1641807873660.00,S3:,0.13,-1,0.14
1641807873672.00,S3:,0.13,-1,0.15
1641807873684.00,S3:,0.12,-1,0.15
1641807873696.00,S3:,0.13,-1,0.15
1641807873709.00,S3:,0.12,-1,0.14
1641807873721.00,S3:,0.12,-1,0.14
1641807873733.00,S3:,0.12,-1,0.15
1641807873745.00,S3:,0.12,-1,0.14
1641807873757.00,S3:,0.13,-0.99,0.14
1641807873769.00,S3:,0.12,-1,0.14
1641807873782.00,S3:,0.12,-1,0.15
1641807873794.00,S3:,0.13,-1,0.15
1641807873806.00,S3:,0.13,-1,0.15
1641807873818.00,S3:,0.13,-1,0.14
1641807873830.00,S3:,0.13,-1,0.14
1641807873842.00,S3:,0.13,-1,0.14
1641807873854.00,S3:,0.13,-1,0.14
1641807873866.00,S3:,0.12,-1,0.15
1641807873879.00,S3:,0.13,-1,0.14
1641807873891.00,S3:,0.12,-1,0.15
1641807873903.00,S3:,0.13,-1,0.15
1641807873915.00,S3:,0.13,-1,0.14
1641807873927.00,S3:,0.12,-1,0.16
1641807873940.00,S3:,0.13,-1,0.14
1641807873952.00,S3:,0.12,-1.01,0.14
1641807873964.00,S3:,0.13,-1,0.15
1641807873976.00,S3:,0.13,-1,0.15
1641807873988.00,S3:,0.13,-0.99,0.14
1641807874001.00,S3:,0.13,-1,0.15
1641807874013.00,S3:,0.12,-1,0.14
1641807874025.00,S3:,0.13,-1,0.15
1641807874058.00,S3:,0.12,-1,0.14
1641807874062.00,S3:,0.13,-1,0.15
1641807874067.00,S3:,0.12,-0.99,0.14
1641807874074.00,S3:,0.12,-0.99,0.14
1641807874085.00,S3:,0.12,-1,0.15
1641807874098.00,S3:,0.12,-1,0.14
1641807874110.00,S3:,0.12,-1,0.15
1641807874122.00,S3:,0.12,-1,0.15
1641807874134.00,S3:,0.13,-1,0.15
1641807874146.00,S3:,0.13,-1,0.15
1641807874158.00,S3:,0.13,-1,0.15
1641807874171.00,S3:,0.12,-1,0.14
1641807874183.00,S3:,0.13,-1,0.14
1641807874195.00,S3:,0.12,-1,0.13
1641807874207.00,S3:,0.13,-1,0.15
