 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807867891.00,S3:,0.12,-0.99,0.15
1641807867904.00,S3:,0.12,-1,0.14
1641807867916.00,S3:,0.13,-1,0.15
1641807867928.00,S3:,0.12,-1,0.14
1641807867940.00,S3:,0.13,-1,0.14
1641807867952.00,S3:,0.12,-1,0.14
1641807867964.00,S3:,0.12,-1,0.14
1641807867976.00,S3:,0.13,-1,0.14
1641807867988.00,S3:,0.12,-0.99,0.15
1641807868001.00,S3:,0.13,-1,0.15
1641807868013.00,S3:,0.12,-1,0.15
1641807868025.00,S3:,0.12,-1,0.15
1641807868038.00,S3:,0.12,-1,0.14
1641807868050.00,S3:,0.12,-1,0.15
1641807868062.00,S3:,0.13,-1,0.14
1641807868074.00,S3:,0.13,-1,0.14
1641807868086.00,S3:,0.13,-1,0.14
1641807868098.00,S3:,0.12,-1,0.14
1641807868111.00,S3:,0.13,-0.99,0.14
1641807868123.00,S3:,0.13,-1,0.14
1641807868135.00,S3:,0.12,-1,0.14
1641807868147.00,S3:,0.13,-1,0.15
1641807868159.00,S3:,0.13,-0.99,0.14
1641807868171.00,S3:,0.13,-1,0.14
1641807868184.00,S3:,0.12,-1.01,0.14
1641807868196.00,S3:,0.13,-1,0.14
1641807868208.00,S3:,0.12,-1,0.14
1641807868220.00,S3:,0.13,-1,0.13
1641807868232.00,S3:,0.13,-1,0.15
1641807868244.00,S3:,0.13,-0.99,0.14
1641807868257.00,S3:,0.13,-0.99,0.14
1641807868269.00,S3:,0.13,-1,0.14
1641807868281.00,S3:,0.12,-1,0.14
1641807868294.00,S3:,0.12,-1,0.13
1641807868306.00,S3:,0.12,-1,0.15
1641807868318.00,S3:,0.13,-1,0.14
1641807868330.00,S3:,0.12,-1,0.13
1641807868342.00,S3:,0.12,-1,0.15
1641807868354.00,S3:,0.13,-1,0.15
1641807868367.00,S3:,0.13,-1,0.14
1641807868379.00,S3:,0.13,-1,0.15
1641807868391.00,S3:,0.13,-1,0.14
1641807868403.00,S3:,0.12,-1,0.15
1641807868415.00,S3:,0.13,-1,0.14
1641807868427.00,S3:,0.12,-1,0.15
1641807868439.00,S3:,0.12,-1,0.14
1641807868451.00,S3:,0.12,-1,0.14
1641807868463.00,S3:,0.13,-1,0.15
1641807868475.00,S3:,0.13,-0.99,0.14
1641807868488.00,S3:,0.13,-1,0.14
1641807868500.00,S3:,0.12,-1,0.14
1641807868512.00,S3:,0.13,-1.01,0.15
1641807868524.00,S3:,0.12,-1,0.15
1641807868536.00,S3:,0.12,-1,0.15
1641807868549.00,S3:,0.13,-1,0.15
1641807868561.00,S3:,0.12,-1,0.14
1641807868573.00,S3:,0.12,-1,0.14
1641807868585.00,S3:,0.12,-1,0.15
1641807868597.00,S3:,0.12,-1,0.14
1641807868609.00,S3:,0.13,-1,0.14
1641807868622.00,S3:,0.12,-1,0.14
1641807868634.00,S3:,0.13,-1,0.14
1641807868646.00,S3:,0.13,-1,0.15
